time,packetlength,payloadlength
8.708765,1514,1448
8.708809,1514,1448
8.708863,1514,1448
8.708909,1514,1448
8.708915,66,0
8.708955,1514,1448
8.709189,1514,1448
8.709222,66,0
8.709239,170,104
8.709453,1514,1448
8.709505,154,88
8.70956,66,0
8.709673,1514,1448
8.709723,154,88
8.709803,66,0
8.709931,1514,1448
8.709985,138,72
8.710136,66,0
8.710168,82,16
8.710464,66,0
8.710621,1514,1448
8.710673,154,88
8.710808,66,0
8.711056,66,0
8.711281,66,0
8.711525,66,0
8.71176,66,0
8.712103,66,0
8.712444,66,0
8.71274,66,0
8.713,66,0
8.713242,66,0
8.713252,1514,1448
8.713303,410,344
8.713521,66,0
8.713551,1514,1448
8.713602,154,88
8.713813,66,0
8.713822,1514,1448
8.713867,154,88
8.714139,1514,1448
8.71415,66,0
8.714191,154,88
8.714549,66,0
8.715212,66,0
8.715295,1514,1448
8.715361,1514,1448
8.715413,498,432
8.715567,66,0
8.71597,1514,1448
8.715979,66,0
8.716084,154,88
8.716294,66,0
8.716385,1514,1448
8.716436,1514,1448
8.716476,242,176
8.716602,66,0
8.716653,1514,1448
8.716701,410,344
8.716804,66,0
8.716995,1514,1448
8.717047,154,88
8.717235,66,0
8.717443,66,0
8.717652,66,0
8.717908,1514,1448
8.717919,66,0
8.718226,66,0
8.718455,66,0
8.718709,66,0
8.718963,66,0
8.719728,66,0
8.719981,66,0
8.720232,66,0
8.720508,66,0
8.7208,66,0
8.721053,66,0
8.721289,66,0
8.721516,66,0
8.721748,66,0
8.722088,66,0
8.722807,66,0
8.72924,1514,1448
8.729419,242,176
8.72968,1514,1448
8.729785,154,88
8.730043,1514,1448
8.730099,1514,1448
8.730138,1514,1448
8.730184,498,432
8.730343,1514,1448
8.730387,1514,1448
8.730428,1514,1448
8.730469,1514,1448
8.730509,1514,1448
8.730552,1514,1448
8.73059,1514,1448
8.73064,1514,1448
8.731798,66,0
8.732196,66,0
8.732508,66,0
8.732916,66,0
8.733259,66,0
8.73356,66,0
8.733843,66,0
8.734641,66,0
8.734953,66,0
8.735403,66,0
8.741993,66,0
8.742778,66,0
8.743122,66,0
8.743399,66,0
8.743728,66,0
8.743886,1514,1448
8.743939,1514,1448
8.743981,1514,1448
8.744018,1514,1448
8.744059,354,288
8.744226,1514,1448
8.744273,1514,1448
8.744317,306,240
8.744577,66,0
8.74496,66,0
8.74537,66,0
8.746383,66,0
8.746399,1514,1448
8.746448,154,88
8.746716,1514,1448
8.746764,1514,1448
8.746806,1514,1448
8.746847,1514,1448
8.746885,1514,1448
8.747041,1514,1448
8.747092,1514,1448
8.747134,1514,1448
8.747175,1514,1448
8.747216,1514,1448
8.747572,66,0
8.747747,1514,1448
8.7478,1514,1448
8.747847,1514,1448
8.747888,1514,1448
8.747936,466,400
8.748127,1514,1448
8.748181,1514,1448
8.748224,450,384
8.748329,66,0
8.753973,66,0
8.767207,66,0
8.767548,1514,1448
8.767594,154,88
8.768407,66,0
8.769024,66,0
8.769326,1514,1448
8.769378,154,88
8.771846,66,0
8.772569,66,0
8.773066,226,160
8.773703,66,0
8.774098,1514,1448
8.774148,1514,1448
8.774194,242,176
8.774456,66,0
8.775292,66,0
8.775615,1514,1448
8.77567,154,88
8.776189,66,0
8.776424,66,0
8.776698,1514,1448
8.776743,154,88
8.778781,66,0
8.780624,66,0
8.78098,66,0
8.780987,1514,1448
8.781028,410,344
8.78124,1514,1448
8.781285,154,88
8.782313,66,0
8.782818,66,0
8.783153,1514,1448
8.783202,154,88
8.783439,66,0
8.783698,1514,1448
8.78374,154,88
8.784128,66,0
8.784557,66,0
8.784818,66,0
8.785124,1514,1448
8.785166,154,88
8.785609,66,0
8.787744,66,0
8.788143,1514,1448
8.788278,410,344
8.789206,66,0
8.78967,66,0
8.789969,1514,1448
8.790022,154,88
8.793634,66,0
8.794317,66,0
8.794704,1514,1448
8.794753,154,88
8.79526,66,0
8.798651,66,0
8.799075,66,0
8.79923,1514,1448
8.799283,154,88
8.799562,1514,1448
