No.,Time,Protocol,Info,Source IP and port,Dest IP and port,Length,Payload in Bytes
22,2.684405,TCP(TCP),3389 \xe2\x86\x92 37819 [PSH  ACK] Seq=1 Ack=46 Win=66560 Len=19 TSval=1226328 TSecr=3980782738,192.168.1.3:3389,192.168.1.135:37819,85,030000130ed000001234000201080002000000
21,2.683954,TCP(TCP),3389 \xe2\x86\x92 37819 [ACK] Seq=1 Ack=46 Win=66560 Len=0 TSval=1226328 TSecr=3980782738,192.168.1.3:3389,192.168.1.135:37819,66,
18,2.673244,TCP(TCP),3389 \xe2\x86\x92 37819 [SYN  ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=1226328 TSecr=3980782734,192.168.1.3:3389,192.168.1.135:37819,74,
119,3.387938,TCP(TCP),37203 \xe2\x86\x92 3389 [RST  ACK] Seq=3208 Ack=19579 Win=64128 Len=0 TSval=3980783450 TSecr=1226397,192.168.1.135:37203,192.168.1.3:3389,66,
118,3.387559,TLSv1(TCP),Encrypted Alert,192.168.1.135:37203,192.168.1.3:3389,103,1503010020dbd3c9281636d95af2cd7f7e97049f5253b045b71fdc1f62936f47ab36819a7d
117,3.364905,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=3171 Ack=19579 Win=56448 Len=0 TSval=3980783427 TSecr=1226397,192.168.1.135:37203,192.168.1.3:3389,66,
116,3.364662,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=3171 Ack=18198 Win=57472 Len=0 TSval=3980783427 TSecr=1226397,192.168.1.135:37203,192.168.1.3:3389,66,
112,3.357295,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=3171 Ack=15302 Win=59520 Len=0 TSval=3980783419 TSecr=1226396,192.168.1.135:37203,192.168.1.3:3389,66,
108,3.324958,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=3171 Ack=11025 Win=62592 Len=0 TSval=3980783387 TSecr=1226393,192.168.1.135:37203,192.168.1.3:3389,66,
104,3.286685,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=3171 Ack=6748 Win=64128 Len=0 TSval=3980783349 TSecr=1226385,192.168.1.135:37203,192.168.1.3:3389,66,
